time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
45,88.0,87.0,36.0,4.7,31.2876,121.4881,31.2827,121.4714
40,98.0,99.0,31.0,4.2,31.2925,121.4832,31.2922,121.4942
39,98.0,88.0,29.0,3.9,31.2925,121.4832,31.2862,121.4898
115,98.0,98.0,29.0,3.6,31.2985,121.4828,31.2935,121.483
39,98.0,99.0,32.0,4.4,31.2985,121.4828,31.2915,121.493
42,11.0,12.0,28.0,4.0,31.2138,121.4194,31.2112,121.4203
57,11.0,41.0,50.0,5.8,31.2135,121.4125,31.2417,121.4191
56,11.0,31.0,40.0,5.1,31.2141,121.4105,31.2353,121.4178
55,11.0,21.0,30.0,3.6,31.215,121.4193,31.2203,121.4155
118,11.0,11.0,24.0,3.7,31.2155,121.4195,31.2148,121.4194
136,11.0,22.0,33.0,4.5,31.2138,121.42,31.2212,121.4263
136,11.0,23.0,36.0,4.9,31.2174,121.4163,31.2246,121.4307
29,11.0,31.0,43.0,5.6,31.2139,121.4137,31.2342,121.418
152,11.0,11.0,24.0,3.8,31.2124,121.4159,31.2132,121.4134
76,11.0,20.0,32.0,4.7,31.211,121.4102,31.223,121.403
108,16.0,26.0,34.0,4.800000000000001,31.2146,121.4618,31.2294,121.4614
22,16.0,14.0,37.0,4.7,31.2146,121.4618,31.2194,121.4464
22,16.0,14.0,36.0,4.9,31.2177,121.4611,31.2164,121.445
74,6.0,18.0,37.0,5.1,31.2058,121.4657,31.2108,121.4851
14,6.0,17.0,30.0,4.0,31.2075,121.4653,31.2125,121.4766
143,6.0,6.0,26.0,3.7,31.2059,121.4635,31.2055,121.4628
104,6.0,18.0,38.0,5.2,31.2014,121.4688,31.2155,121.4842
126,6.0,16.0,32.0,4.4,31.2079,121.4604,31.2163,121.4619
41,24.0,24.0,25.0,3.6,31.2246,121.4457,31.2224,121.445
59,22.0,12.0,26.0,4.1,31.2216,121.4241,31.2194,121.4282
0,15.0,36.0,39.0,5.1,31.2192,121.4517,31.2366,121.4625
125,15.0,6.0,33.0,4.2,31.2152,121.455,31.2068,121.4657
62,15.0,14.0,34.0,4.6000000000000005,31.2108,121.454,31.2176,121.4411
111,15.0,14.0,34.0,4.6000000000000005,31.2132,121.4588,31.2195,121.4467
40,25.0,27.0,41.0,5.2,31.2257,121.4505,31.2258,121.4744
39,25.0,27.0,34.0,4.9,31.228,121.4563,31.2276,121.4717
145,25.0,24.0,36.0,4.5,31.2245,121.4593,31.2283,121.4433
53,15.0,24.0,37.0,4.9,31.2163,121.4588,31.227,121.4456
52,15.0,24.0,35.0,4.9,31.2134,121.4521,31.2234,121.4457
132,71.0,81.0,36.0,5.1000000000000005,31.2759,121.412,31.2896,121.415
83,71.0,90.0,47.0,5.800000000000001,31.2719,121.4121,31.2985,121.4085
26,61.0,60.0,31.0,4.4,31.2651,121.4146,31.2672,121.4048
133,71.0,71.0,25.0,3.5,31.279,121.4146,31.2783,121.4156
120,61.0,70.0,36.0,4.7,31.2635,121.4193,31.2728,121.4071
81,71.0,90.0,42.0,5.2,31.2786,121.4165,31.2926,121.4016
41,33.0,26.0,50.0,6.5,31.2388,121.4312,31.23,121.4668
41,44.0,25.0,40.0,5.7,31.2437,121.4403,31.229,121.4593
34,43.0,42.0,26.0,3.6,31.2466,121.43,31.2444,121.4286
56,12.0,21.0,42.0,5.0,31.2135,121.4231,31.2297,121.4102
143,11.0,21.0,28.0,3.9,31.2139,121.4166,31.2207,121.4168
12,12.0,12.0,30.0,4.5,31.2117,121.4299,31.2192,121.4215
134,11.0,1.0,38.0,4.5,31.2186,121.4139,31.205,121.4118
109,75.0,84.0,34.0,4.6000000000000005,31.2795,121.4575,31.2818,121.4443
66,75.0,63.0,40.0,5.0,31.2734,121.4563,31.2663,121.4374
87,75.0,65.0,33.0,4.0,31.2704,121.4515,31.2601,121.4512
105,75.0,85.0,34.0,4.4,31.2719,121.4509,31.2853,121.4547
17,75.0,64.0,32.0,4.4,31.2702,121.4591,31.2681,121.4448
88,75.0,54.0,38.0,5.2,31.2723,121.4598,31.2588,121.4438
63,75.0,63.0,46.0,5.3,31.2782,121.4571,31.2688,121.433
17,75.0,64.0,30.0,4.0,31.2781,121.4502,31.2676,121.4463
119,75.0,74.0,34.0,4.6000000000000005,31.2761,121.457,31.2761,121.4401
105,75.0,75.0,30.0,4.3,31.2779,121.4547,31.27,121.455
