time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
112,88.0,98.0,38.0,5.3,31.2808,121.4868,31.2993,121.4893
108,88.0,99.0,35.0,4.3,31.2808,121.4868,31.2902,121.4953
21,87.0,85.0,34.0,4.4,31.284,121.4715,31.2836,121.4544
62,75.0,64.0,33.0,4.5,31.2764,121.457,31.2695,121.4498
36,36.0,36.0,27.0,4.1,31.2334,121.4664,31.2305,121.4625
58,25.0,25.0,28.0,4.0,31.228,121.4563,31.2209,121.4513
49,35.0,26.0,34.0,4.1,31.2343,121.4579,31.2298,121.4697
51,25.0,25.0,30.0,4.1,31.2245,121.4593,31.2289,121.4502
36,36.0,23.0,41.0,5.2,31.2311,121.4614,31.2218,121.4383
37,36.0,24.0,44.0,5.4,31.2334,121.4664,31.2234,121.4429
63,25.0,24.0,35.0,4.2,31.2273,121.455,31.2267,121.44
52,25.0,26.0,31.0,4.4,31.2284,121.4592,31.222,121.4673
48,35.0,25.0,37.0,4.8999999999999995,31.2383,121.459,31.2211,121.4539
48,35.0,26.0,38.0,5.0,31.2361,121.4527,31.2264,121.47
155,11.0,2.0,37.0,5.1000000000000005,31.2159,121.416,31.2094,121.4299
89,11.0,13.0,45.0,5.3,31.211,121.4102,31.2154,121.4381
128,11.0,31.0,46.0,5.7,31.2135,121.4125,31.2386,121.4104
110,11.0,21.0,36.0,4.3,31.2155,121.4195,31.2248,121.4102
42,11.0,11.0,28.0,4.0,31.2186,121.4139,31.2137,121.4173
41,11.0,1.0,32.0,4.2,31.2158,121.4142,31.2063,121.4186
58,11.0,11.0,34.0,4.7,31.215,121.4193,31.2107,121.41
42,11.0,11.0,27.0,3.8,31.2138,121.4194,31.2133,121.4166
42,11.0,2.0,36.0,4.5,31.2188,121.4152,31.2083,121.4259
128,11.0,31.0,45.0,5.2,31.2159,121.416,31.2397,121.4109
39,15.0,14.0,24.0,3.6,31.2146,121.4536,31.2158,121.4487
71,15.0,15.0,28.0,4.0,31.2148,121.4546,31.2143,121.4587
38,15.0,15.0,27.0,4.0,31.2134,121.4521,31.2158,121.4541
39,15.0,14.0,36.0,4.9,31.2186,121.4593,31.2135,121.4442
39,15.0,14.0,30.0,4.4,31.2108,121.454,31.2186,121.4448
49,6.0,16.0,30.0,4.0,31.2098,121.4619,31.2147,121.4603
75,8.0,7.0,32.0,4.2,31.2076,121.4825,31.2071,121.4714
50,6.0,16.0,26.0,3.9000000000000004,31.2098,121.4619,31.2113,121.4689
25,6.0,16.0,29.0,4.1,31.2051,121.4621,31.213,121.4665
141,6.0,6.0,28.0,4.2,31.2079,121.4604,31.2015,121.4667
112,13.0,12.0,32.0,4.0,31.2138,121.4308,31.2154,121.4208
47,2.0,13.0,39.0,4.8999999999999995,31.2009,121.4216,31.216,121.4339
157,3.0,2.0,31.0,4.4,31.2084,121.4345,31.2018,121.4265
124,2.0,23.0,46.0,5.8999999999999995,31.2003,121.42,31.2268,121.4339
164,2.0,12.0,34.0,4.6000000000000005,31.2003,121.42,31.2147,121.42
44,22.0,33.0,45.0,5.7,31.2223,121.4209,31.2386,121.4393
32,22.0,42.0,41.0,5.4,31.2267,121.4236,31.2455,121.4253
42,22.0,31.0,33.0,4.7,31.228,121.4253,31.2346,121.4172
55,22.0,23.0,36.0,4.800000000000001,31.2216,121.4241,31.222,121.4391
153,16.0,7.0,33.0,4.0,31.2163,121.4699,31.2083,121.4779
108,15.0,15.0,30.0,4.2,31.2146,121.4536,31.2191,121.4595
108,15.0,15.0,25.0,3.6,31.2155,121.4508,31.2189,121.4522
32,15.0,15.0,28.0,3.9,31.2192,121.4517,31.2157,121.4591
50,25.0,25.0,32.0,4.3,31.222,121.4577,31.227,121.451
143,25.0,17.0,43.0,5.800000000000001,31.2265,121.4529,31.2138,121.4766
82,15.0,24.0,32.0,4.4,31.2192,121.4517,31.229,121.4486
70,15.0,15.0,22.0,3.6,31.2132,121.4588,31.213,121.4587
153,46.0,37.0,38.0,4.7,31.2431,121.462,31.2314,121.4741
162,56.0,56.0,32.0,4.1,31.2513,121.4694,31.2594,121.4696
116,56.0,65.0,36.0,5.0,31.2516,121.4647,31.2659,121.4541
48,71.0,52.0,41.0,4.8,31.2786,121.4165,31.2587,121.4204
82,61.0,50.0,34.0,4.7,31.2619,121.418,31.2595,121.4004
111,71.0,60.0,36.0,5.0,31.2759,121.412,31.2626,121.4041
110,71.0,61.0,25.0,3.4000000000000004,31.2706,121.4147,31.2698,121.414
31,61.0,80.0,42.0,5.2,31.27,121.4154,31.2887,121.4079
101,61.0,71.0,32.0,4.2,31.2635,121.4193,31.2712,121.415
108,34.0,25.0,34.0,4.7,31.236,121.4469,31.2238,121.453
38,44.0,34.0,35.0,4.7,31.2441,121.4404,31.2328,121.4429
94,11.0,20.0,35.0,4.7,31.2109,121.412,31.2234,121.4095
94,11.0,20.0,40.0,5.4,31.21,121.4144,31.2298,121.4091
118,12.0,13.0,31.0,4.2,31.2102,121.4286,31.2159,121.4354
42,12.0,23.0,32.0,4.6000000000000005,31.2135,121.4231,31.224,121.4302
41,12.0,23.0,31.0,4.1,31.2177,121.4251,31.2223,121.4359
50,22.0,13.0,41.0,5.2,31.229,121.4257,31.2118,121.4341
36,12.0,2.0,36.0,5.1,31.2187,121.4237,31.2025,121.4211
29,75.0,43.0,64.0,7.0,31.2799,121.4582,31.2409,121.4359
30,75.0,52.0,51.0,6.5,31.2798,121.4554,31.2595,121.427
6,75.0,52.0,57.0,6.6000000000000005,31.2723,121.4598,31.2549,121.4225
6,75.0,63.0,41.0,4.8,31.2779,121.4547,31.2656,121.4366
29,75.0,42.0,56.0,6.4,31.2701,121.4523,31.2404,121.4297
63,75.0,65.0,34.0,4.5,31.2798,121.4554,31.2653,121.4563
62,75.0,65.0,28.0,3.9,31.2719,121.4509,31.2692,121.4592
30,75.0,52.0,44.0,5.5,31.2743,121.4511,31.2566,121.4287
64,75.0,64.0,26.0,3.9,31.2704,121.4521,31.2676,121.4498
29,75.0,42.0,59.0,7.000000000000001,31.2747,121.4527,31.2436,121.4211
64,75.0,54.0,43.0,5.6,31.2717,121.4558,31.2523,121.4464
100,75.0,64.0,36.0,5.3,31.2762,121.457,31.2618,121.4479
82,75.0,73.0,38.0,5.199999999999999,31.2743,121.4511,31.2797,121.433
85,75.0,63.0,42.0,4.8,31.2704,121.4521,31.2637,121.4313
82,75.0,73.0,41.0,5.5,31.2718,121.457,31.2788,121.436
5,75.0,50.0,72.0,8.5,31.279,121.4546,31.2539,121.4003
135,75.0,43.0,52.0,6.4,31.2704,121.4515,31.246,121.4314
62,75.0,65.0,34.0,4.7,31.2795,121.4575,31.2687,121.4545
100,75.0,74.0,34.0,4.3,31.2779,121.4547,31.2794,121.4418
100,75.0,74.0,29.0,4.4,31.2799,121.4582,31.2762,121.4488
100,75.0,64.0,40.0,5.0,31.2799,121.4574,31.2689,121.4409
82,75.0,73.0,39.0,5.5,31.2779,121.4547,31.2722,121.4324
85,75.0,53.0,48.0,5.4,31.2799,121.4537,31.2581,121.4355
29,75.0,43.0,53.0,6.0,31.2781,121.4502,31.2493,121.4311
6,75.0,51.0,61.0,6.9,31.2734,121.4563,31.2523,121.4147
82,75.0,74.0,29.0,4.2,31.2762,121.457,31.2743,121.4499
63,75.0,75.0,27.0,3.7,31.2788,121.4563,31.2738,121.456
135,75.0,32.0,67.0,7.800000000000001,31.279,121.4546,31.2375,121.426
129,43.0,44.0,29.0,4.5,31.2434,121.4352,31.2403,121.4429
46,44.0,45.0,30.0,4.4,31.2408,121.4495,31.2494,121.4532
138,34.0,34.0,30.0,4.1,31.2396,121.4488,31.2326,121.447
104,44.0,33.0,38.0,4.800000000000001,31.2467,121.4406,31.2341,121.4326
115,44.0,34.0,34.0,4.800000000000001,31.2458,121.4456,31.2308,121.4429
32,44.0,33.0,39.0,4.8,31.2436,121.444,31.2302,121.4301
79,43.0,44.0,35.0,4.6000000000000005,31.2475,121.433,31.241,121.4444
46,44.0,45.0,28.0,3.7,31.2444,121.4465,31.2472,121.4524
33,33.0,33.0,24.0,3.7,31.2312,121.4394,31.2312,121.4342
152,33.0,53.0,45.0,5.4,31.2332,121.4394,31.2591,121.4397
87,34.0,35.0,32.0,4.7,31.236,121.4469,31.2379,121.4581
157,24.0,24.0,27.0,3.8000000000000003,31.2265,121.447,31.2237,121.4426
151,24.0,24.0,29.0,4.5,31.2297,121.4414,31.2211,121.4421
141,24.0,23.0,32.0,4.2,31.2263,121.4456,31.2205,121.4364
152,24.0,14.0,38.0,5.1,31.2259,121.45,31.2112,121.4423
142,24.0,24.0,25.0,3.6,31.2276,121.4402,31.2264,121.4451
92,58.0,58.0,26.0,3.7,31.2513,121.4844,31.2559,121.4823
43,68.0,68.0,28.0,3.9000000000000004,31.2668,121.489,31.2641,121.4844
141,68.0,57.0,34.0,5.0,31.2626,121.4855,31.25,121.4759
129,68.0,48.0,36.0,4.8999999999999995,31.2623,121.4815,31.245,121.4806
126,68.0,68.0,28.0,3.8,31.2656,121.4871,31.262,121.489
63,28.0,19.0,42.0,5.5,31.226,121.4812,31.2154,121.499
42,27.0,28.0,30.0,4.7,31.2267,121.4772,31.2291,121.4882
55,27.0,27.0,28.0,3.6,31.2226,121.4737,31.2269,121.473
121,27.0,29.0,42.0,5.1,31.2298,121.4761,31.2208,121.4999
54,27.0,27.0,27.0,3.7,31.2245,121.4766,31.2236,121.4727
65,27.0,17.0,33.0,4.4,31.2245,121.4766,31.2125,121.4728
70,17.0,6.0,40.0,4.8999999999999995,31.2138,121.4771,31.2014,121.4623
43,18.0,9.0,34.0,4.4,31.2111,121.48,31.203,121.4943
31,17.0,18.0,37.0,5.1000000000000005,31.2144,121.4709,31.2143,121.4891
134,27.0,37.0,32.0,4.2,31.2226,121.4737,31.2308,121.4752
142,27.0,17.0,29.0,4.0,31.224,121.4771,31.2169,121.4727
42,18.0,19.0,35.0,5.1000000000000005,31.2192,121.4808,31.2175,121.4968
157,27.0,17.0,29.0,4.5,31.2285,121.4757,31.22,121.4733
64,11.0,11.0,26.0,3.5,31.211,121.4102,31.2117,121.4148
25,11.0,3.0,32.0,4.7,31.213,121.4198,31.2054,121.4307
113,11.0,31.0,44.0,5.9,31.2135,121.4125,31.2388,121.4125
49,11.0,32.0,38.0,4.5,31.2188,121.4152,31.2322,121.4247
142,11.0,2.0,32.0,4.2,31.211,121.4102,31.2027,121.4226
142,11.0,2.0,38.0,5.2,31.2186,121.4139,31.2004,121.4228
136,8.0,9.0,28.0,4.4,31.2076,121.4825,31.2092,121.4917
66,77.0,87.0,30.0,4.2,31.2779,121.4787,31.2864,121.473
95,77.0,88.0,37.0,5.1,31.272,121.4726,31.2848,121.4859
43,77.0,58.0,39.0,5.1,31.2747,121.4778,31.2565,121.4858
42,77.0,58.0,46.0,5.699999999999999,31.2784,121.4785,31.2522,121.4885
141,77.0,66.0,36.0,5.1000000000000005,31.2707,121.4788,31.2603,121.4654
142,77.0,55.0,50.0,6.1,31.2778,121.4774,31.2596,121.4532
105,77.0,68.0,32.0,4.2,31.2707,121.4788,31.2639,121.4854
82,77.0,98.0,42.0,5.2,31.2747,121.4778,31.297,121.4818
134,77.0,87.0,33.0,4.7,31.2787,121.4727,31.2885,121.4701
90,15.0,24.0,36.0,4.6000000000000005,31.2152,121.455,31.2268,121.4433
75,15.0,24.0,31.0,4.2,31.2155,121.4508,31.2223,121.447
29,15.0,26.0,34.0,4.6,31.2186,121.4593,31.2246,121.4694
126,35.0,25.0,36.0,4.9,31.2378,121.4568,31.2263,121.4579
63,35.0,35.0,24.0,3.5,31.2378,121.4568,31.2391,121.4593
35,25.0,25.0,29.0,4.0,31.22,121.4515,31.2214,121.457
150,25.0,26.0,34.0,5.0,31.2265,121.4529,31.2286,121.4685
62,35.0,25.0,37.0,4.7,31.2344,121.4596,31.2211,121.4562
37,25.0,25.0,23.0,3.9000000000000004,31.2261,121.4596,31.225,121.4592
41,25.0,35.0,31.0,3.8,31.2261,121.4596,31.2305,121.4527
114,26.0,37.0,32.0,4.4,31.2294,121.4693,31.2304,121.4796
53,35.0,35.0,24.0,3.8000000000000003,31.2344,121.4596,31.2345,121.4592
150,25.0,26.0,37.0,4.6000000000000005,31.2257,121.4505,31.2223,121.4673
131,49.0,59.0,35.0,4.9,31.244,121.4954,31.2581,121.4917
115,24.0,23.0,30.0,3.6,31.2214,121.4423,31.2255,121.439
123,24.0,34.0,30.0,3.9000000000000004,31.2275,121.4445,31.2306,121.4487
42,24.0,3.0,39.0,4.8999999999999995,31.2248,121.4449,31.2079,121.4355
42,24.0,24.0,29.0,4.2,31.2259,121.45,31.2242,121.4433
39,77.0,77.0,32.0,4.5,31.2721,121.4799,31.2786,121.4772
30,35.0,36.0,32.0,4.7,31.2378,121.4568,31.2326,121.4687
39,25.0,15.0,38.0,5.199999999999999,31.226,121.4521,31.2101,121.4589
