time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
46,88.0,78.0,30.0,3.6,31.2808,121.4868,31.2767,121.4893
32,86.0,77.0,36.0,4.3,31.2821,121.4615,31.2757,121.4744
39,88.0,88.0,30.0,3.9,31.2827,121.4884,31.2871,121.4819
24,88.0,86.0,42.0,5.5,31.2842,121.4866,31.2886,121.4647
112,88.0,99.0,31.0,4.5,31.2827,121.4884,31.2903,121.4976
138,11.0,31.0,38.0,4.4,31.2186,121.4139,31.2335,121.4107
125,11.0,33.0,50.0,6.500000000000001,31.2102,121.4198,31.2381,121.4359
53,21.0,13.0,35.0,4.4,31.2211,121.4191,31.2132,121.434
126,11.0,32.0,40.0,5.1,31.2138,121.42,31.2322,121.4222
137,11.0,21.0,31.0,4.0,31.2187,121.4147,31.2286,121.4188
112,11.0,13.0,35.0,4.4,31.2138,121.4194,31.2165,121.4367
36,11.0,31.0,43.0,5.3,31.2141,121.4105,31.2355,121.4108
40,11.0,30.0,44.0,5.0,31.2186,121.4139,31.236,121.4016
83,16.0,17.0,36.0,4.800000000000001,31.2146,121.4618,31.2189,121.4779
96,16.0,7.0,42.0,5.3,31.2177,121.4611,31.205,121.4771
166,25.0,13.0,36.0,4.699999999999999,31.2257,121.4503,31.2149,121.4344
118,25.0,8.0,52.0,6.3,31.2261,121.4596,31.2014,121.4876
84,16.0,17.0,32.0,4.6000000000000005,31.2146,121.4618,31.2191,121.4762
40,7.0,8.0,30.0,4.7,31.2032,121.4777,31.2071,121.4877
41,7.0,8.0,29.0,4.2,31.2084,121.474,31.2079,121.4831
27,7.0,27.0,44.0,5.4,31.202,121.48,31.2232,121.4745
61,6.0,27.0,46.0,5.4,31.2051,121.4621,31.2296,121.4706
61,6.0,17.0,33.0,4.4,31.2059,121.4635,31.2134,121.4734
40,76.0,65.0,31.0,4.2,31.2732,121.4619,31.2634,121.4555
40,76.0,66.0,32.0,4.4,31.2759,121.4696,31.2687,121.4698
31,22.0,43.0,41.0,5.1,31.2267,121.4236,31.2402,121.4398
120,15.0,5.0,32.0,4.4,31.2163,121.4588,31.2092,121.4535
18,25.0,25.0,30.0,3.8,31.2285,121.4504,31.2259,121.4594
145,15.0,16.0,34.0,4.4,31.2155,121.4508,31.217,121.4675
109,15.0,16.0,26.0,3.9000000000000004,31.2132,121.4588,31.2187,121.461
38,15.0,8.0,50.0,6.200000000000001,31.2192,121.4517,31.204,121.4827
63,56.0,45.0,30.0,4.2,31.2529,121.4646,31.2446,121.4575
37,72.0,82.0,30.0,4.3,31.2758,121.421,31.2822,121.4214
26,61.0,70.0,43.0,5.7,31.2635,121.4193,31.279,121.4019
123,71.0,60.0,39.0,5.3,31.2711,121.42,31.2614,121.4041
53,61.0,70.0,39.0,4.6,31.2635,121.4193,31.2768,121.4074
72,71.0,73.0,37.0,5.1000000000000005,31.2761,121.4138,31.2747,121.431
100,71.0,60.0,39.0,5.5,31.2786,121.4165,31.2613,121.4066
1,61.0,80.0,45.0,5.6000000000000005,31.2619,121.418,31.2847,121.4043
123,71.0,60.0,39.0,4.8999999999999995,31.2761,121.4138,31.2609,121.4032
119,33.0,25.0,45.0,6.1000000000000005,31.2395,121.4306,31.2236,121.4535
91,44.0,34.0,27.0,4.0,31.241,121.448,31.2357,121.4469
98,34.0,34.0,25.0,3.8,31.236,121.4469,31.2381,121.4425
129,34.0,45.0,38.0,5.0,31.238,121.4402,31.2476,121.4529
92,44.0,44.0,31.0,3.9,31.2408,121.4495,31.2462,121.4412
112,43.0,43.0,27.0,4.1,31.2417,121.433,31.2402,121.4366
45,12.0,14.0,44.0,5.4,31.2165,121.4222,31.2165,121.4475
41,12.0,13.0,33.0,4.7,31.2178,121.425,31.2183,121.4355
139,13.0,22.0,36.0,4.800000000000001,31.2112,121.4321,31.2254,121.4292
50,12.0,24.0,41.0,5.7,31.22,121.4211,31.2293,121.443
