time,arrival_id,delivery_id,promise_time,delivery_fee,merchant_latitude,merchant_longitude,user_latitude,user_longitude
49,86.0,76.0,28.0,4.0,31.2821,121.4615,31.2754,121.4667
58,88.0,88.0,28.0,4.1,31.2827,121.4884,31.2813,121.4838
57,88.0,79.0,33.0,4.6,31.2808,121.4868,31.2797,121.4981
140,88.0,78.0,36.0,4.9,31.2842,121.4866,31.27,121.4809
109,88.0,79.0,32.0,4.9,31.2827,121.4884,31.2724,121.4968
25,11.0,20.0,33.0,4.6,31.2135,121.4125,31.2202,121.4054
110,11.0,22.0,39.0,5.3,31.2141,121.4105,31.2262,121.4287
41,11.0,3.0,44.0,5.7,31.2107,121.4101,31.2026,121.4324
24,11.0,21.0,32.0,4.5,31.2186,121.4122,31.2271,121.4188
41,11.0,3.0,39.0,5.0,31.2159,121.416,31.2047,121.4305
120,11.0,2.0,35.0,4.9,31.2154,121.4175,31.2039,121.4231
60,11.0,22.0,36.0,4.6000000000000005,31.2135,121.4125,31.2208,121.424
131,11.0,30.0,49.0,6.3,31.2124,121.4159,31.2383,121.4034
95,11.0,13.0,40.0,5.1,31.211,121.4102,31.214,121.4344
122,11.0,2.0,35.0,4.3,31.2124,121.4159,31.2075,121.4297
41,11.0,13.0,38.0,5.199999999999999,31.21,121.4144,31.2145,121.4322
151,11.0,22.0,40.0,5.0,31.2104,121.4115,31.2263,121.4274
133,11.0,31.0,40.0,5.4,31.213,121.4198,31.2311,121.4145
47,16.0,25.0,32.0,4.4,31.2146,121.4618,31.224,121.4595
75,16.0,24.0,38.0,5.1,31.212,121.4646,31.222,121.4451
65,15.0,25.0,34.0,4.6000000000000005,31.2155,121.4508,31.2264,121.4548
76,16.0,15.0,25.0,3.4,31.2146,121.4618,31.214,121.457
46,16.0,26.0,31.0,4.0,31.2177,121.4611,31.2253,121.4614
67,15.0,25.0,23.0,3.6,31.2192,121.4517,31.2201,121.4539
132,7.0,7.0,30.0,4.4,31.2097,121.4792,31.2031,121.4731
76,7.0,6.0,36.0,4.6000000000000005,31.202,121.48,31.208,121.4656
42,76.0,84.0,40.0,5.4,31.2732,121.4619,31.2844,121.4405
123,76.0,55.0,42.0,5.7,31.2759,121.4696,31.2577,121.4559
33,76.0,75.0,29.0,3.9,31.2733,121.4612,31.2784,121.4554
42,76.0,84.0,44.0,5.5,31.2759,121.4696,31.2802,121.4441
32,76.0,73.0,45.0,5.5,31.2733,121.4612,31.2759,121.4333
60,76.0,85.0,35.0,4.6000000000000005,31.2732,121.4619,31.2846,121.4514
44,22.0,22.0,26.0,4.1,31.2261,121.4274,31.2298,121.4261
45,22.0,13.0,40.0,5.5,31.2292,121.4243,31.2165,121.4395
44,22.0,12.0,25.0,3.6,31.2216,121.4241,31.2178,121.4263
45,25.0,17.0,39.0,5.3,31.2265,121.4529,31.2165,121.4723
43,46.0,65.0,44.0,5.7,31.2447,121.4684,31.2683,121.4551
53,56.0,46.0,31.0,4.4,31.2529,121.4646,31.2458,121.463
57,71.0,61.0,30.0,4.5,31.2711,121.42,31.2624,121.4143
42,61.0,90.0,51.0,5.800000000000001,31.2651,121.4146,31.2944,121.4097
57,71.0,62.0,30.0,4.6,31.2747,121.4126,31.2686,121.4212
88,71.0,41.0,60.0,6.699999999999999,31.2796,121.4179,31.2401,121.4161
113,71.0,62.0,39.0,4.8,31.2796,121.4179,31.2637,121.4295
81,71.0,61.0,38.0,4.5,31.2752,121.4161,31.2602,121.4141
113,71.0,71.0,24.0,3.5,31.279,121.4146,31.2769,121.4188
21,61.0,63.0,45.0,5.5,31.27,121.4154,31.2616,121.44
5,72.0,71.0,28.0,3.9,31.2758,121.421,31.2791,121.4186
155,43.0,35.0,43.0,5.9,31.2448,121.434,31.2317,121.4559
164,34.0,34.0,26.0,3.5,31.2329,121.4453,31.2332,121.4465
